claim_id,entity,claim,source_ids,confidence,used_in
C001,"Преп-Центр","Есть отдельная действующая услуга фулфилмента автохимии и автокосметики","S001","high","C1"
C002,"Преп-Центр","На приемке проверяются флаконы, крышки и распылители","S001;S002","high","C3"
C003,"Преп-Центр","Автоматическая линия ВПП рассчитана до 1000 изделий в час","S002;S003","high","C2;C6"
C004,"Преп-Центр","Кейс автохимии: 2393 набора из 9600 компонентов за 2 рабочих дня","S002","high","C4"
C005,"Преп-Центр","В кейсе выявлены неплотные крышки и 7 протекающих флаконов","S002","high","C3"
C006,"Преп-Центр","Подготовлены 2 поставки Wildberries и 1 Ozon","S002","high","C5"
C007,"UpMarket","Для жидкой косметики проверяются целостность и отсутствие подтеков","S007","high","C1;C3"
C008,"UpMarket","Схема упаковки может сочетать ВПП и термоусадку","S007;S008","high","C2"
C009,"UpMarket","В Подольске заявлены 5700 м2 и до 50000 упаковок в день","S009","high","C6"
C010,"UpMarket","Собственная WMS и фиксированные тарифы опубликованы","S006;S008;S009","high","C6;C7"
C011,"Родной Дом","Отдельная страница прямо включает бытовую химию и автохимию","S010","high","C1"
C012,"Родной Дом","Проверяется заводская укупорка, колпачок, дозатор или триггер","S010","high","C3"
C013,"Родной Дом","Для жидкой химии опубликованы термоусадка, ВПП и герметичная защита","S010;S011","high","C2"
C014,"Родной Дом","Подтверждены FBS и FBO и опубликованы ориентиры цен","S010;S011","high","C5;C7"
C015,"Helpberries","Есть кейсы жидкой косметики и автоматизации косметического бренда","S014;S015","high","C1;C4"
C016,"Helpberries","Проверка на брак и фотофиксация входят в процесс","S012;S013","high","C3"
C017,"Helpberries","Работает по FBO и FBS и использует автоматизированный учет","S012;S013","high","C5;C6"
C018,"Нитропак","Бытовая химия и жидкости выделены в отдельную услугу","S016","high","C1"
C019,"Нитропак","Описаны защита от протечек и термоусадка","S016","high","C2;C3"
C020,"Нитропак","Публичны тарифы и WMS-инфраструктура","S017;S018","high","C6;C7"
C021,"Техскладлогистик","Неопасная автохимия прямо указана среди принимаемых категорий","S020;S021","high","C1"
C022,"Техскладлогистик","Подтверждены полный фулфилмент, WB/Ozon и WMS","S019;S022","high","C5;C6"
C023,"Техскладлогистик","Публичный прайс раскрывает основные складские операции","S021","high","C7"
C024,"ПроФасовка","Компания работает со сложными химическими составами и жидкими препаратами","S023;S025","high","C1"
C025,"ПроФасовка","Трехступенчатый контроль включает финальную проверку герметичности","S023","high","C3"
C026,"ПроФасовка","В фулфилменте бытовой химии описана герметизация жидких средств","S024","high","C2"
C027,"Кактус","В публичном материале протечка автохимии названа видом брака","S028","medium","C1;C3"
C028,"Кактус","Актуальный тариф включает упаковку в ВПП, короб и стрейч","S027","high","C2;C7"
C029,"Кактус","Подтверждены FBO/FBS, личный кабинет и крупная инфраструктура","S026;S029","high","C5;C6"
C030,"FULFILLYOU","Публично доступны ВПП и термоусадка","S032","high","C2"
C031,"FULFILLYOU","Оператор заявляет 100000+ единиц в день и крупную инфраструктуру","S030","high","C6"
C032,"FULFILLYOU","Подтверждены FBO/FBS, осмотр и тарифы","S031;S032","high","C3;C5;C7"
C033,"FullBox","Для косметики и парфюмерии контролируется герметичность","S033","high","C1;C3"
C034,"FullBox","Собственная WMS, защитная упаковка и работа с WB/Ozon подтверждены","S033;S034;S035","high","C2;C5;C6"
C035,"U2Pack","Для косметики используются ВПП и термоусадка, заявлено до 30000 ед./смену","S036","high","C1;C2;C6"
C036,"U2Pack","Подтверждена подготовка товаров к маркетплейсам и маркировка","S037","high","C5"
C037,"E-Fulfillment","В обработке товаров доступны ВПП и термоусадка","S039","high","C2"
C038,"E-Fulfillment","Описаны проверка на брак и фотофиксация","S039;S040","high","C3"
C039,"E-Fulfillment","Подтверждены FBO/FBS и складская инфраструктура","S038","high","C5;C6"
C040,"Будет сделано!","Доступны ВПП, термоусадка и сборка подарочных наборов","S042","high","C2"
C041,"Будет сделано!","Заявлены 5000 ед./день и 99.94% точность подготовки","S041;S043","high","C4;C6"
C042,"Будет сделано!","Подтверждены FBO/FBS и WMS-контроль","S042;S043","high","C5;C6"
C043,"9Gramm","Публичный прайс содержит ВПП и термоусадку","S044","high","C2;C7"
C044,"9Gramm","Описан контроль операций; FBS имеет публичное ограничение","S045","high","C3;C5"
C045,"FullMark","Для косметики и бытовой химии прямо указаны проверка герметичности и защита от протечек","S046","high","C1;C3"
C046,"FullMark","Подтверждена защитная упаковка под требования маркетплейса","S046","high","C2"
C047,"PREP-T011","Августовская публикация использована для market recall, а не как источник баллов","S047;S048","high","provenance"
C048,"Wildberries","Официальные требования различают автомобильные жидкости, автохимию и наборы","S049","high","context"
